component_type,criticality,status,action,strategy_type,upstream_callers_count,downstream_deps_count,total_affected_count,critical_callers_count,max_dependency_depth,is_spof,cross_env_links,cpu_percent,has_cpu_telemetry,storage_gb,has_storage_telemetry,cost_per_month,risk_score,simulated_downtime_minutes,has_downtime_metric,simulated_cost_delta,has_cost_metric,strategy_complexity,provides_redundancy,requires_data_sync,zero_downtime_capable,suitability_score,is_suitable_label
storage,critical,active,restart,direct_lift_shift,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,1,0,0,0,0.2699,0
storage,critical,active,restart,phased_blue_green,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,2,1,1,1,0.6445,0
storage,critical,active,restart,multi_az_modernize,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,3,1,0,1,0.9259,1
storage,critical,active,restart,read_replica_offload,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,3,0,1,0,0.1609,0
storage,critical,active,restart,auto_scaling_group,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,2,1,0,1,0.1406,0
storage,critical,active,restart,dependency_circuit_breaker,3,1,4,1,0,1,0,17.4,1,34.6,1,562.22,85,16.7,1,0.0,1,3,0,0,0,0.8906,1
container,critical,warning,scale,direct_lift_shift,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,1,0,0,0,0.3132,0
container,critical,warning,scale,phased_blue_green,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,2,1,1,1,0.6807,0
container,critical,warning,scale,multi_az_modernize,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,3,1,0,1,0.8812,1
container,critical,warning,scale,read_replica_offload,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,3,0,1,0,0.1217,0
container,critical,warning,scale,auto_scaling_group,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,2,1,0,1,0.9315,1
container,critical,warning,scale,dependency_circuit_breaker,8,3,11,1,3,1,0,10.6,1,-1.0,0,2018.43,88,-1.0,0,1009.22,1,3,0,0,0,0.8814,1
storage,low,degraded,restart,direct_lift_shift,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,1,0,0,0,0.6097,0
storage,low,degraded,restart,phased_blue_green,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,2,1,1,1,0.5735,0
storage,low,degraded,restart,multi_az_modernize,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,3,1,0,1,0.431,0
storage,low,degraded,restart,read_replica_offload,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,3,0,1,0,0.0775,0
